t [s],a [m/s^2]
4.65,0.7921746
4.655,0.7054964
4.66,0.6044981
4.665,0.5099499
4.67,0.4260217
4.675,0.3348934
4.68,0.2248652
4.685,0.1057669
4.69,-0.007609891
4.695,-0.1061995
4.7,-0.1794778
4.705,-0.217946
4.71,-0.2175442
4.715,-0.1837425
4.72,-0.1359607
4.725,-0.09822696
4.73,-0.0777482
4.735,-0.05903344
4.74,-0.02458968
4.745,0.02668708
4.75,0.08529184
4.755,0.1486616
4.76,0.2191234
4.765,0.2929651
4.77,0.3592069
4.775,0.4024487
4.78,0.4126804
4.785,0.3887822
4.79,0.3300039
4.795,0.2349857
4.8,0.1086275
4.805,-0.03864279
4.81,-0.198879
4.815,-0.3722673
4.82,-0.5575755
4.825,-0.7478638
4.83,-0.933892
4.835,-1.10137
4.84,-1.242669
4.845,-1.365967
4.85,-1.482865
4.855,-1.596663
4.86,-1.699361
4.865,-1.77896
4.87,-1.829058
4.875,-1.852256
4.88,-1.851854
4.885,-1.828653
4.89,-1.784751
4.895,-1.722349
4.9,-1.645647
4.905,-1.559146
4.91,-1.462944
4.915,-1.351942
4.92,-1.22264
4.925,-1.078339
4.93,-0.9245667
4.935,-0.764925
4.94,-0.6033033
4.945,-0.4432215
4.95,-0.2840497
4.955,-0.127638
4.96,0.02322881
4.965,0.1730856
4.97,0.3202173
4.975,0.4512091
4.98,0.5606608
4.985,0.6601426
4.99,0.7611144
4.995,0.8620661
5,0.9588279
5.005,1.04909
5.01,1.133191
5.015,1.206793
5.02,1.262995
5.025,1.298597
5.03,1.315699
5.035,1.3176
5.04,1.307402
5.045,1.286604
5.05,1.261206
5.055,1.242607
5.06,1.236909
5.065,1.243811
5.07,1.254212
5.075,1.259714
5.08,1.258216
5.085,1.250818
5.09,1.23862
5.095,1.221221
5.1,1.201423
5.105,1.178125
5.11,1.141827
5.115,1.087528
5.12,1.02283
5.125,0.9518519
5.13,0.8686637
5.135,0.7689354
5.14,0.6584372
5.145,0.546029
5.15,0.4379007
5.155,0.3354025
5.16,0.2295543
5.165,0.113536
5.17,-0.004000026
5.175,-0.1127505
5.18,-0.2174487
5.185,-0.3234769
5.19,-0.4233552
5.195,-0.5026834
5.2,-0.5480416
5.205,-0.5536399
5.21,-0.5314081
5.215,-0.4959064
5.22,-0.4433846
5.225,-0.3652329
5.23,-0.2680511
5.235,-0.1626993
5.24,-0.04524057
5.245,0.09111719
5.25,0.243946
5.255,0.4025977
5.26,0.5578794
5.265,0.7052612
5.27,0.841213
5.275,0.9652948
5.28,1.077386
5.285,1.171888
5.29,1.23969
5.295,1.279592
5.3,1.296694
5.305,1.293595
5.31,1.273097
5.315,1.240299
5.32,1.201501
5.325,1.158402
5.33,1.104904
5.335,1.033606
5.34,0.9418176
5.345,0.8305994
5.35,0.7026712
5.355,0.5599529
5.36,0.4045947
5.365,0.2436665
5.37,0.08106422
5.375,-0.08286402
5.38,-0.2463083
5.385,-0.4043265
5.39,-0.5505047
5.395,-0.6774729
5.4,-0.7805212
5.405,-0.8664795
5.41,-0.9437377
5.415,-1.010166
5.42,-1.058564
5.425,-1.088362
5.43,-1.101561
5.435,-1.096659
5.44,-1.074557
5.445,-1.038355
5.45,-0.9909136
5.455,-0.9409419
5.46,-0.8925601
5.465,-0.8390983
5.47,-0.7797266
5.475,-0.7166248
5.48,-0.651343
5.485,-0.5864413
5.49,-0.5252995
5.495,-0.4775977
5.5,-0.452146
5.505,-0.4488342
5.51,-0.4622425
5.515,-0.4862807
5.52,-0.520619
5.525,-0.5684272
5.53,-0.6259554
5.535,-0.6833836
5.54,-0.7364719
5.545,-0.7901902
5.55,-0.8469384
5.555,-0.8990666
5.56,-0.9401549
5.565,-0.9705331
5.57,-0.9919114
5.575,-1.00691
5.58,-1.009008
5.585,-0.9870061
5.59,-0.9439743
5.595,-0.8897225
5.6,-0.8281208
5.605,-0.760559
5.61,-0.6883972
5.615,-0.6118155
5.62,-0.5292937
5.625,-0.439192
5.63,-0.3414202
5.635,-0.2373684
5.64,-0.1299967
5.645,-0.02059292
5.65,0.09103984
5.655,0.2055386
5.66,0.3220304
5.665,0.4365521
5.67,0.5424839
5.675,0.6349356
5.68,0.7102374
5.685,0.7643791
5.69,0.7976809
5.695,0.8120127
5.7,0.8073444
5.705,0.7831262
5.71,0.740248
5.715,0.6815298
5.72,0.6112615
5.725,0.5319732
5.73,0.442605
5.735,0.3449368
5.74,0.2446885
5.745,0.1490003
5.75,0.06081606
5.755,-0.01963018
5.76,-0.08701041
5.765,-0.1357727
5.77,-0.1646309
5.775,-0.1726891
5.78,-0.1612074
5.785,-0.1339656
5.79,-0.09286585
5.795,-0.04390509
5.8,0.004510072
5.805,0.04639343
5.81,0.08173619
5.815,0.114985
5.82,0.1431067
5.825,0.1576585
5.83,0.1587002
5.835,0.153102
5.84,0.1432238
5.845,0.1292255
5.85,0.1151173
5.855,0.104509
5.86,0.09619281
5.865,0.08539256
5.87,0.06644233
5.875,0.03852009
5.88,0.003437949
5.885,-0.03896839
5.89,-0.08689263
5.895,-0.1364269
5.9,-0.1819651
5.905,-0.2184133
5.91,-0.2453016
5.915,-0.2610298
5.92,-0.2643481
5.925,-0.2607963
5.93,-0.2608846
5.935,-0.2650528
5.94,-0.259901
5.945,-0.2366093
5.95,-0.2025075
5.955,-0.1698657
5.96,-0.139414
5.965,-0.1015222
5.97,-0.05390545
5.975,-0.00529959
5.98,0.03738107
5.985,0.07676383
5.99,0.1198666
5.995,0.1668084
6,0.2122401
6.005,0.2528019
6.01,0.2892336
6.015,0.3257154
6.02,0.3608471
6.025,0.3879689
6.03,0.4039807
6.035,0.4132324
6.04,0.4176142
6.045,0.412966
6.05,0.3983877
6.055,0.3801295
6.06,0.3642113
6.065,0.350613
6.07,0.3371248
6.075,0.3198265
6.08,0.2988683
6.085,0.2830901
6.09,0.2735718
6.095,0.2588536
6.1,0.2301753
6.105,0.1923371
6.11,0.1576089
6.115,0.1345106
6.12,0.1245624
6.125,0.1236941
6.13,0.1298459
6.135,0.1443777
6.14,0.1616494
6.145,0.1734512
6.15,0.1817029
6.155,0.1924847
6.16,0.2059065
6.165,0.2158082
6.17,0.22036
6.175,0.2265017
6.18,0.2392335
6.185,0.2544753
6.19,0.268627
6.195,0.2838388
6.2,0.3020006
6.205,0.3214823
6.21,0.3420241
6.215,0.3636259
6.22,0.3851776
6.225,0.4083694
6.23,0.4317311
6.235,0.4521529
6.24,0.4703647
6.245,0.4861964
6.25,0.4938682
6.255,0.4857699
6.26,0.4612417
6.265,0.4227735
6.27,0.3699852
6.275,0.301857
6.28,0.2215187
6.285,0.1343805
6.29,0.04113226
6.295,-0.05587398
6.3,-0.1513042
6.305,-0.2455125
6.31,-0.3363407
6.315,-0.4200189
6.32,-0.4952072
6.325,-0.5582154
6.33,-0.6067337
6.335,-0.6400419
6.34,-0.6542001
6.345,-0.6448584
6.35,-0.6118066
6.355,-0.5573049
6.36,-0.4866931
