t [s],a [m/s^2]
5.265,-0.04624113
5.27,-0.1035545
5.275,-0.1516849
5.28,-0.1953753
5.285,-0.2481057
5.29,-0.3004761
5.295,-0.3348065
5.3,-0.3537469
5.305,-0.3680673
5.31,-0.3829077
5.315,-0.3965081
5.32,-0.4073185
5.325,-0.4203589
5.33,-0.4410193
5.335,-0.4780796
5.34,-0.53671
5.345,-0.6141005
5.35,-0.6793308
5.355,-0.7054212
5.36,-0.7149616
5.365,-0.718032
5.37,-0.7004124
5.375,-0.6761028
5.38,-0.6566632
5.385,-0.6268136
5.39,-0.586194
5.395,-0.5447944
5.4,-0.4885248
5.405,-0.4220052
5.41,-0.3572656
5.415,-0.292146
5.42,-0.2336664
5.425,-0.1701767
5.43,-0.08578914
5.435,0.01300946
5.44,0.1160621
5.445,0.2147517
5.45,0.3142513
5.455,0.4106709
5.46,0.5028105
5.465,0.6023101
5.47,0.7154997
5.475,0.8273693
5.48,0.9079989
5.485,0.9533785
5.49,0.9642081
5.495,0.9501978
5.5,0.9196073
5.505,0.8737069
5.51,0.8239766
5.515,0.7713962
5.52,0.7195557
5.525,0.6697654
5.53,0.613015
5.535,0.5605846
5.54,0.5210242
5.545,0.4823538
5.55,0.4512334
5.555,0.428073
5.56,0.3878926
5.565,0.3433722
5.57,0.3146218
5.575,0.2953614
5.58,0.276121
5.585,0.2572406
5.59,0.2374802
5.595,0.2086898
5.6,0.1756195
5.605,0.150589
5.61,0.1373187
5.615,0.1358283
5.62,0.1473979
5.625,0.1740975
5.63,0.2095471
5.635,0.2520167
5.64,0.2901863
5.645,0.3105959
5.65,0.3089255
5.655,0.2820451
5.66,0.2318547
5.665,0.1613943
5.67,0.08373193
5.675,0.001787735
5.68,-0.08473386
5.685,-0.1560473
5.69,-0.2003077
5.695,-0.233908
5.7,-0.2618784
5.705,-0.2723288
5.71,-0.2720092
5.715,-0.2769996
5.72,-0.29116
5.725,-0.3103804
5.73,-0.3397908
5.735,-0.3869512
5.74,-0.4503616
5.745,-0.526542
5.75,-0.6088724
5.755,-0.6899627
